PlayerName,Date,MatchType(OneDay-T20-Test),OppositionTeam,TossWin,BowlingFirst,BattingFirst,hometeam,LastMatchesPerformance,Last3MatchesPerformance,Last6MatchesPerformance,weather,pitch,Form(InOrOut),Order(BattingBowlingOrder),Performance(IT is label. For Batsman:Runs. For Bowler: Wickets)
Tamim Iqbal,7/5/2015,T20,v South Africa,Bangladesh ,FALSE,TRUE,Bangladesh,Poor,Poor,Poor,Rainy,Dusty,Out,1,5
Tamim Iqbal,4/24/2015,T20,v Pakistan,Pakistan,TRUE,FALSE,Bangladesh,Poor,Excellent,Poor,Clear,Green,Out,1,14
Tamim Iqbal,8/27/2014,T20,v West Indies,West Indies,FALSE,TRUE,Bangladesh,Poor,Poor,Poor,Clear,Dard,Out,1,11*
Tamim Iqbal,4/1/2014,T20,v Australia,Austarlia,FALSE,TRUE,Bangladesh,Poor,Poor,Poor,Foggy,Damp,Out,1,5
Tamim Iqbal,3/30/2014,T20,v Pakistan,Pakistan,FALSE,TRUE,Bangladesh,Poor,Poor,Poor,Sunny,Normal,Out,1,16
Tamim Iqbal,3/28/2014,T20,v India,India,FALSE,TRUE,Bangladesh,Poor,Excellent,Poor,Moderate,Dusty,Out,1,6
Tamim Iqbal,3/25/2014,T20,v West Indies,Bangladesh ,FALSE,TRUE,Bangladesh,Poor,Poor,Poor,Moderate,Dard,Out,1,5
Tamim Iqbal,3/20/2014,T20,v Hong Kong,Hong Kong,FALSE,TRUE,Bangladesh,Average,Excellent,Poor,Foggy,Dard,Out,1,0
Tamim Iqbal,3/18/2014,T20,v Nepal,Bangladesh ,FALSE,TRUE,Bangladesh,Poor,Poor,Excellent,Moderate,Dusty,In,2,30
Tamim Iqbal,3/16/2014,T20,v Afghanistan,Afghanistan,FALSE,TRUE,Bangladesh,Poor,Poor,Poor,Sunny,Green,In,2,21
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
